STREET,DISTRICT,AREA_M2,ROOMS,PRICE,PROPERTY_CONDITION,COMFORT,ENERGY_USAGE,FLOOR,LIFT,BUILDING_HEIGHT,INNER_HEIGHT,AIR_CONDITIONING,FURNISHED,UTILITIES_EXPENSE,WHEELCHAIR_ACCESSIBLE,ORIENTATION,VIEW,BALCONY,HAS_GARDEN,HAS_ATTIC,HAS_EQUIPMENT,PET,SMOKING,PARKING,PANEL_PROGRAM
 Vaci ut 106.,XIII,20,1,302.0,5.0,3.0,,1.0,0.0,4.0,,0,4.0,60.0,0,,court,3.0,,,1.0,0.0,,0,
 Victor Hugo utca,XIII,65,2,876.0,6.0,3.0,18,4.0,1.0,6.0,1.0,1,3.0,121.0,1,south-west,street,5.0,0.0,0.0,1.0,0.0,not allowed,1,
 Lazar utca,VI,56,1,450.0,5.0,3.0,,1.0,0.0,4.0,1.0,1,4.0,45.0,0,,court,0.0,0.0,0.0,1.0,0.0,not allowed,0,
 Ferenc korut,IX,79,3,755.0,5.0,3.0,,2.0,0.0,4.0,2.0,0,4.0,0.0,0,west,street,0.0,0.0,0.0,1.0,0.0,not allowed,0,
 Veres Palne utca,V,110,3,785.0,5.0,,,2.0,1.0,,,1,4.0,0.0,0,,court,0.0,,,1.0,0.0,,,
 Pava utca,IX,46,1,423.0,3.0,3.0,,3.0,0.0,,1.0,0,4.0,94.0,0,east,street,0.0,0.0,0.0,1.0,0.0,not allowed,0,
 Igloi utca,XI,64,2,483.0,5.0,,,2.0,0.0,3.0,,0,1.0,76.0,0,,court,4.0,,0.0,0.0,,,1,
 Pozsonyi ut,XIII,24,1,317.0,5.0,,,2.0,,,,0,4.0,60.0,0,,court,0.0,,,1.0,1.0,not allowed,,
 Bobita utca,III,23,1,332.0,5.0,,,,1.0,,,1,4.0,48.0,0,south-west,garden,0.0,,1.0,1.0,1.0,not allowed,,
 Lonyay utca,IX,25,1,362.0,5.0,3.0,,2.0,0.0,3.0,1.0,0,4.0,0.0,0,south-west,court,0.0,0.0,0.0,1.0,0.0,,0,
 Keve utca,III,45,1,450.0,4.0,,18,1.0,,2.0,,0,3.0,3.0,0,,garden,8.0,,0.0,,,,,
 Asboth utca 15.,VII,28,1,332.0,3.0,3.0,10,3.0,1.0,4.0,1.0,0,3.0,76.0,0,,street,0.0,0.0,0.0,1.0,0.0,allowed,0,
