STREET,DISTRICT,AREA_M2,ROOMS,PRICE,PROPERTY_CONDITION,COMFORT,ENERGY_USAGE,FLOOR,LIFT,BUILDING_HEIGHT,INNER_HEIGHT,AIR_CONDITIONING,FURNISHED,UTILITIES_EXPENSE,WHEELCHAIR_ACCESSIBLE,ORIENTATION,VIEW,BALCONY,HAS_GARDEN,HAS_ATTIC,HAS_EQUIPMENT,PET,SMOKING,PARKING,PANEL_PROGRAM
 Oktogon,VI,45,1,393.0,5.0,5.0,19,1.0,1.0,4.0,1.0,0,4.0,76.0,1,,court,0.0,1.0,0.0,1.0,0.0,not allowed,0,
 Csengery utca,VI,40,1,378.0,5.0,5.0,19,2.0,1.0,4.0,1.0,0,4.0,76.0,1,,court,0.0,1.0,0.0,1.0,0.0,not allowed,0,
 Dob utca 53.,VII,32,1,393.0,5.0,5.0,18,2.0,1.0,4.0,2.0,1,4.0,76.0,1,,court,0.0,0.0,0.0,1.0,0.0,not allowed,0,
 Hollan Erno utca,XIII,31,1,423.0,4.0,3.0,,3.0,1.0,5.0,,0,4.0,45.0,0,west,street,0.0,0.0,,1.0,0.0,not allowed,0,
 Eotvos utca,VI,74,2,483.0,5.0,3.0,,3.0,1.0,4.0,2.0,1,1.0,76.0,0,north-east,street,0.0,0.0,0.0,1.0,0.0,not allowed,0,
 Zapor utca 8.,III,33,1,302.0,4.0,3.0,,1.0,0.0,4.0,,0,4.0,0.0,0,,court,0.0,,,1.0,0.0,,0,
 Rakoczi ut,VIII,38,1,362.0,5.0,3.0,,6.0,1.0,6.0,,1,4.0,0.0,0,,court,0.0,,0.0,1.0,0.0,,1,
 Tabornok utca 5.,XIV,31,1,393.0,6.0,3.0,,2.0,1.0,6.0,1.0,1,4.0,60.0,0,,court,10.0,0.0,0.0,1.0,0.0,not allowed,0,
 Petofi utca 14.,IV,35,1,362.0,5.0,3.0,,6.0,1.0,10.0,1.0,0,1.0,27.0,1,,,0.0,,0.0,,,,1,
 Karoly korut,VII,31,1,362.0,5.0,3.0,,4.0,1.0,4.0,2.0,1,4.0,91.0,0,,street,0.0,,0.0,1.0,0.0,not allowed,,
 Vagohid utca,IX,39,2,544.0,6.0,3.0,,2.0,1.0,6.0,1.0,1,4.0,45.0,1,,court,6.0,0.0,0.0,1.0,0.0,not allowed,0,
 Rokk Szilard utca 19.,VIII,50,2,483.0,5.0,,,1.0,,,,0,4.0,0.0,0,,court,0.0,,,1.0,,,,
 Karolyi utca,V,76,3,664.0,5.0,4.0,,5.0,1.0,8.0,,1,4.0,30.0,0,,street,0.0,,,1.0,1.0,allowed,,
 Etele ut,XI,51,1,513.0,5.0,,,,1.0,,,0,,0.0,0,,,0.0,,,1.0,,,1,
 Pozsonyi ut 23.,XIII,57,2,541.0,5.0,,,1.0,1.0,5.0,1.0,0,4.0,91.0,0,,court,0.0,,,1.0,,,,
 Rakoczi utca,XIX,60,1,513.0,4.0,,,0.5,1.0,,,1,4.0,0.0,0,,garden,6.0,,,1.0,0.0,not allowed,1,
 Batthyany utca,I,76,2,634.0,4.0,3.0,,3.0,1.0,5.0,2.0,0,2.0,127.0,0,east,street,0.0,0.0,0.0,1.0,0.0,not allowed,0,
 Thaly Kalman utca 54.,IX,40,2,483.0,5.0,3.0,,1.0,1.0,4.0,1.0,1,4.0,0.0,1,,street,4.0,,,1.0,,not allowed,,
 Zichy Jeno utca,VI,53,1,574.0,,,,,,,,0,,0.0,0,,,0.0,,,,,,,
 Varoshaz utca 16.,V,55,2,1208.0,5.0,4.0,,5.0,1.0,,1.0,1,4.0,91.0,0,,panoramic,8.0,,0.0,1.0,,,0,
 Angyal utca 9.,IX,28,1,362.0,5.0,3.0,,1.0,0.0,,,0,4.0,60.0,0,,court,0.0,,,,,not allowed,0,
 Terez korut 36.,VI,40,1,423.0,5.0,3.0,,3.0,1.0,5.0,2.0,0,4.0,66.0,0,south-west,court,0.0,,0.0,1.0,0.0,not allowed,0,
 Lonyay utca 3.,IX,31,1,423.0,5.0,3.0,,4.0,1.0,6.0,2.0,1,4.0,60.0,0,north-east,panoramic,2.0,0.0,0.0,1.0,0.0,not allowed,0,
 Balazs Bela utca,IX,68,2,604.0,5.0,4.0,,4.0,1.0,4.0,1.0,1,4.0,103.0,0,south-west,court,10.0,,0.0,1.0,1.0,not allowed,0,
 Jozsef korut,VIII,37,1,393.0,4.0,,,0.5,,4.0,1.0,0,4.0,69.0,0,,court,0.0,,0.0,1.0,1.0,not allowed,0,
 Katona Jozsef utca 26.,XIII,31,1,362.0,5.0,3.0,,2.0,1.0,5.0,2.0,0,4.0,60.0,0,north,court,0.0,,0.0,1.0,0.0,not allowed,0,
 Dohany utca,VII,67,3,740.0,5.0,3.0,,2.0,1.0,,,0,4.0,121.0,0,,,0.0,,0.0,,,,,
 Lajos utca 93-99,III,43,1,544.0,6.0,3.0,,5.0,1.0,7.0,1.0,1,4.0,0.0,0,south-west,panoramic,8.0,0.0,0.0,1.0,0.0,not allowed,0,
 Szena ter,I,51,1,634.0,5.0,,,1.0,1.0,,2.0,0,4.0,91.0,0,,court,0.0,0.0,0.0,1.0,1.0,,0,
